,Header,Price,Link,Content
29,Excellent condition MOTA bluetooth Smartwatch G2 PRO,$20,https://sfbay.craigslist.org/sby/hab/d/excellent-condition-mota-bluetooth/7029388720.html,"$20
Nov 29 Excellent condition MOTA bluetooth Smartwatch G2 PRO $20 (san jose south)"
30,Boss KTN-50 12 Inch Katana 50W Combo Guitar Amplifier (brand new),$200,https://sfbay.craigslist.org/eby/msg/d/union-city-boss-ktn-inch-katana-50w/7029388714.html,"$200
Nov 29 Boss KTN-50 12 Inch Katana 50W Combo Guitar Amplifier (brand new) $200 (fremont / union city / newark)"
31,Caterpillar Women Size 9 Freedom Pull on Steel Toe Work Leather Boot,$54,https://sfbay.craigslist.org/sby/clo/d/san-jose-caterpillar-women-size-9/7029388704.html,"$54
Nov 29 Caterpillar Women Size 9 Freedom Pull on Steel Toe Work Leather Boot $54 (san jose east)"
32,Total Wireless $25 $35 Refill Card 30 Day Unlimited Talk Text,$20,https://sfbay.craigslist.org/eby/mob/d/san-leandro-total-wireless-refill-card/7011862173.html,"$20
Nov 29 Total Wireless $25 $35 Refill Card 30 Day Unlimited Talk Text $20 (san leandro)"
33,Intel Core i5-4570 3.2 GHz Haswell Quad-Core CPU Processor LGA 1150,$50,https://sfbay.craigslist.org/eby/sop/d/san-lorenzo-intel-core-i-ghz-haswell/7026662586.html,"$50
Nov 29 Intel Core i5-4570 3.2 GHz Haswell Quad-Core CPU Processor LGA 1150 $50 (san leandro)"
34,iPad 2 64GB Wifi,$95,https://sfbay.craigslist.org/sby/ele/d/mountain-view-ipad-2-64gb-wifi/7026926992.html,"$95
Nov 29 iPad 2 64GB Wifi $95 (mountain view)"
35,Used double sink countertop with faucets,$50,https://sfbay.craigslist.org/eby/fuo/d/pittsburg-used-double-sink-countertop/7029388667.html,"$50
Nov 29 Used double sink countertop with faucets $50 (pittsburg / antioch)"
36,P235/45R18 Bridgestone tires,$100,https://sfbay.craigslist.org/nby/wto/d/petaluma-p235-45r18-bridgestone-tires/7017497047.html,"$100
Nov 29 P235/45R18 Bridgestone tires $100 (petaluma)"
37,1972 Honda CT70,$1850,https://sfbay.craigslist.org/nby/mpo/d/petaluma-1972-honda-ct70/7015231759.html,"$1850
Nov 29 1972 Honda CT70 $1850 (Northbay)"
38,"6 Brand-New Replacement Light Bulbs 60-Watt, Using Only 9 Watts",$6,https://sfbay.craigslist.org/sfc/for/d/san-francisco-6-brand-new-replacement/7019338579.html,"$6
Nov 29 6 Brand-New Replacement Light Bulbs 60-Watt, Using Only 9 Watts $6 (ingleside / SFSU / CCSF)"
39,"6 Brand-New Replacement Light Bulbs 60-Watt, Using Only 9 Watts",$6,https://sfbay.craigslist.org/sfc/hsh/d/san-francisco-6-brand-new-replacement/7019338879.html,"$6
Nov 29 6 Brand-New Replacement Light Bulbs 60-Watt, Using Only 9 Watts $6 (ingleside / SFSU / CCSF)"
40,2013 Harley Davidson Fatboy,$12500,https://sfbay.craigslist.org/nby/mpo/d/petaluma-2013-harley-davidson-fatboy/7020679064.html,Nov 29 2013 Harley Davidson Fatboy $12500
41,Honda CRF250R / 450R SEAT,$60,https://sfbay.craigslist.org/nby/mpo/d/petaluma-honda-crf250r-450r-seat/7011705110.html,"$60
Nov 29 Honda CRF250R / 450R SEAT $60 (petaluma)"
42,Pot to Roast/Cook Turkey,$15,https://sfbay.craigslist.org/eby/for/d/walnut-creek-pot-to-roast-cook-turkey/7021864347.html,"$15
Nov 29 Pot to Roast/Cook Turkey $15 (walnut creek)"
43,MINI MOTORCYCLE CHOPPER,$800,https://sfbay.craigslist.org/eby/tag/d/tracy-mini-motorcycle-chopper/7026035689.html,"$800
Nov 29 MINI MOTORCYCLE CHOPPER $800 (danville / san ramon)"
44,Skip Hop Duo diaper bag,$20,https://sfbay.craigslist.org/pen/bab/d/san-carlos-skip-hop-duo-diaper-bag/7022178664.html,"$20
Nov 29 Skip Hop Duo diaper bag $20 (san carlos)"
45,Britax Anti-Rebound Bar,$20,https://sfbay.craigslist.org/pen/bab/d/san-carlos-britax-anti-rebound-bar/7022178584.html,"$20
Nov 29 Britax Anti-Rebound Bar $20 (san carlos)"
46,Mesa Boogie Rectoverb 25 1x12 Combo Amp Blue Bronco,$1300,https://sfbay.craigslist.org/eby/msg/d/pleasant-hill-mesa-boogie-rectoverb-25/7029377803.html,"$1300
Nov 29 Mesa Boogie Rectoverb 25 1x12 Combo Amp Blue Bronco $1300"
47,Adidas Football Cleats Size 11,$40,https://sfbay.craigslist.org/eby/spo/d/oakland-adidas-football-cleats-size-11/7029388551.html,Nov 29 Adidas Football Cleats Size 11 $40 (oakland downtown)
48,NAD 5340 CD Player - For Repair,$15,https://sfbay.craigslist.org/sby/ele/d/santa-clara-nad-5340-cd-player-for/7029388536.html,"$15
Nov 29 NAD 5340 CD Player - For Repair $15 (santa clara)"
49,twin bed + side table and mattres,$90,https://sfbay.craigslist.org/eby/fuo/d/walnut-creek-twin-bed-side-table-and/7021865173.html,"$90
Nov 29 twin bed + side table and mattres $90 (walnut creek)"
50,"Skis,kid ski jacket+snow suit/bib/pants;snowmobile motorcycle helmet",$10,https://sfbay.craigslist.org/sby/spo/d/santa-clara-skiskid-ski-jacketsnow-suit/7025537186.html,"$10
Nov 29 Skis,kid ski jacket+snow suit/bib/pants;snowmobile motorcycle helmet $10 (willow glen / cambrian)"
51,TV,$100,https://sfbay.craigslist.org/eby/ele/d/danville-tv/7029388513.html,"$100
Nov 29 TV $100 (danville / san ramon)"
52,Cherry Wood Entertainment Center,$400,https://sfbay.craigslist.org/sby/fuo/d/san-jose-cherry-wood-entertainment/7027263216.html,"$400
Nov 29 Cherry Wood Entertainment Center $400 (san jose south)"
